"symbol","exchange","shortname"
"ACTL","OEM","ARTEC GLOBAL MEDIA INC"
"ACRL","PNK","Atacama Resources International"
"YCL","PCX","ProShares Ultra Yen"
"ICAD","NCM",NULL
"SOCL","NGM",NULL
"AFCL","OEM","AMCOR FINANCIAL CORP"
"ADM","NYQ","Archer-Daniels-Midland Company"
"AIM","ASE","AIM ImmunoTech Inc."
"AEM","NYQ","Agnico Eagle Mines Limited"
"ASM","ASE","Avino Silver & Gold Mines Ltd."
"CDZI","NGM",NULL
"CSOC","PNK",NULL
"CM","NYQ","Canadian Imperial Bank of Comme"
"SCM","NYQ","Stellus Capital Investment Corp"
"APM","NCM","Aptorum Group Limited"
"ACMR","NGM","ACM Research, Inc."
"AGM","NYQ","Federal Agricultural Mortgage C"
"CHAD","PCX",NULL
"CID","NGM",NULL
"AOM","PCX","iShares Core 40/60 Moderate All"
"HCM","NMS","HUTCHMED (China) Limited"
"PCM","NYQ","PCM Fund, Inc."
"CCM","NYQ","Concord Medical Services Holdin"
"BCM","PCX","iPath Pure Beta Broad Commodity"
"CADIF","PNK",NULL
"CLAD","OEM",NULL
"CDE","NYQ",NULL
"CZR","NMS",NULL
"ARCM","BTS","Arrow Reserve Capital Managemen"
"ACMT","PNK","ACMAT CORP"
"AUCM","OEM","AUCTIONCITIES.COM INC"
"ACMTA","PNK","ACMAT Corp."
"CAN","NGM","Canaan Inc."
"VFVA","BTS",NULL
"AZN","NMS","Astrazeneca PLC"
"AON","NYQ","Aon plc"
"AQN","NYQ","Algonquin Power & Utilities Cor"
"ADN","NCM","Advent Technologies Holdings, I"
"AMN","NYQ","AMN Healthcare Services Inc"
"CVE","NYQ",NULL
"CAKE","NMS",NULL
"WCN","NYQ","Waste Connections, Inc."
"PCN","NYQ","Pimco Corporate & Income Strate"
"FCN","NYQ","FTI Consulting, Inc."
"AIN","NYQ","Albany International Corporatio"
"MCN","NYQ","Madison Covered Call & Equity S"
"CAPE","PCX",NULL
"CN","PCX","Xtrackers MSCI All China Equity"
"ATCN","OEM","Atec, Inc."
"ASCN","PNK","Absecon Bancorp"
"UCO","PCX","ProShares Ultra Bloomberg Crude"
"AEO","NYQ","American Eagle Outfitters, Inc."
"CHE","NYQ",NULL
"CSTE","NMS",NULL
"CANE","PCX",NULL
"AZO","NYQ","AutoZone, Inc."
"APO","NYQ","Apollo Global Management, Inc. "
"SCO","PCX","ProShares UltraShort Bloomberg "
"AGCO","NYQ","AGCO Corporation"
