"symbol","exchange","shortname"
"EFSH","ASE",NULL
"EBSH","PNK",NULL
"SESI","OEM",NULL
"GESI","PNK",NULL
"LESL","NMS",NULL
"HESM","NYQ",NULL
"ESNT","NYQ",NULL
"EKSN","OEM",NULL
"MESO","NMS",NULL
"ESPR","NGM",NULL
"EBET","OEM",NULL
"HERO","NGM",NULL
"GULDF","PNK",NULL
"EUSP","PNK",NULL
"ESPGY","PNK",NULL
"EVSP","OEM",NULL
"WTRG","NYQ",NULL
"EPRT","NYQ",NULL
"EPIX","NCM",NULL
"ESLOY","PNK",NULL
"ESLOF","PNK",NULL
"EOSS","OEM",NULL
"VNQ","PCX",NULL
"IYR","PCX",NULL
"XLRE","PCX",NULL
"KREF","NYQ",NULL
"FREL","PCX",NULL
"WHLR","NCM",NULL
"MNR","NYQ",NULL
"NREF","NYQ",NULL
"USTC","OEM",NULL
"JRS","NYQ",NULL
"GRP-UN","NYQ",NULL
"WHLRP","NCM",NULL
"URE","PCX",NULL
"SRS","PCX",NULL
"WHLRD","NCM",NULL
"FPRO","BTS",NULL
"PGZ","NYQ",NULL
"ROOF","PCX",NULL
"RIOCF","PNK",NULL
"TSRYY","PNK",NULL
"CWYUF","PNK",NULL
"HRUFF","PNK",NULL
"MITEY","PNK",NULL
"KREF-PA","NYQ",NULL
"PTTTS","OEM",NULL
"FREVS","PNK",NULL
"PRKWF","PNK",NULL
"VEST","PNK",NULL
"SURVF","PNK",NULL
"SGLMF","PNK",NULL
"NREF-PA","NYQ",NULL
"IVREF","PNK",NULL
"IIPZF","PNK",NULL
"EFRTF","PNK",NULL
"FCXXF","PNK",NULL
"WRFRF","PNK",NULL
"GPEAF","PNK",NULL
"LKREF","PNK",NULL
"RREIF","PNK",NULL
"MGRUF","PNK",NULL
"MITEF","PNK",NULL
"AAAU","BTS",NULL
"TSRYF","PNK",NULL
"ETSY","NMS",NULL
"VTI","PCX",NULL
"ETHE","PCX",NULL
"JETS","PCX",NULL
"VGT","PCX",NULL
"PSLV","ASE",NULL
"VTV","PCX",NULL
"VUG","PCX",NULL
"SILJ","PCX",NULL
"URA","PCX",NULL
"ETON","NGM",NULL
"VFH","PCX",NULL
"SFYF","PCX",NULL
"SRET","NGM",NULL
"QQQJ","NGM",NULL
"VPU","PCX",NULL
"PRNT","BTS",NULL
"VXF","PCX",NULL
"XRT","PCX",NULL
"MGK","PCX",NULL
"AWAY","PCX",NULL
"FOMO","BTS",NULL
"SPLG","PCX",NULL
"QQQM","NGM",NULL
"VGK","PCX",NULL
"VOOG","PCX",NULL
"PGX","PCX",NULL
"PHYS","NYQ",NULL
"IPO","PCX",NULL
"VNM","BTS",NULL
"VTWO","NGM",NULL
"PFFD","PCX",NULL
"MLPA","PCX",NULL
"INDA","BTS",NULL
"IVW","PCX",NULL
"VOOV","PCX",NULL
"IFRA","BTS",NULL
"RPV","PCX",NULL
"IVE","PCX",NULL
"FINX","NGM",NULL
"SFY","PCX",NULL
"IPAY","PCX",NULL
"ONLN","PCX",NULL
"TUR","NGM",NULL
"WEAT","PCX",NULL
"VTWV","NGM",NULL
"JPST","PCX",NULL
"IYW","PCX",NULL
"SOYB","PCX",NULL
"XTN","PCX",NULL
"BKLN","PCX",NULL
"VGLT","NGM",NULL
"MGV","PCX",NULL
"BMRRY","PNK",NULL
"ERFSF","PNK",NULL
"IEUS","NGM",NULL
"CPNFF","PNK",NULL
"UPV","PCX",NULL
"MRRDF","OQX",NULL
"PTEU","BTS",NULL
"EUXTF","PNK",NULL
"BMRPF","PNK",NULL
"EOXFF","PNK",NULL
"EUSHY","PNK",NULL
"QURT","PNK",NULL
"PURT","OEM",NULL
"AURX","OQB",NULL
"FURY","ASE",NULL
"PURY","OEM",NULL
"ZEUS","NMS",NULL
"OUT","NYQ",NULL
"GUT","NYQ",NULL
"FUT","BTS",NULL
"UUU","ASE",NULL
"NUV","NYQ",NULL
"NUW","NYQ",NULL
"MUX","NYQ",NULL
"SUZ","NYQ",NULL
"EVGN","NCM",NULL
"EVOK","NCM",NULL
"EVER","NGM",NULL
"MRAM","NGM",NULL
"EVOL","OEM",NULL
"EVIO","OEM",NULL
"EVLI","OEM",NULL
"PTVE","NMS",NULL
"EVTC","NYQ",NULL
"IETC","BTS",NULL
"IEIH","BTS",NULL
"IEHS","BTS",NULL
"ELVAF","OEM",NULL
"IEFN","BTS",NULL
"FNAM","OEM",NULL
"EVOTF","PNK",NULL
"HFGVF","OEM",NULL
"PETS","NMS",NULL
"EXPI","NGM",NULL
"XELA","PNK",NULL
"EXEL","NMS",NULL
"EXPE","NMS",NULL
"EXTR","NMS",NULL
"EXROF","OQB",NULL
"IGV","BTS",NULL
"KATX","PNK",NULL
"EXPD","NYQ",NULL
"HTLD","NMS",NULL
"AXXA","PNK",NULL
"XCUR","NCM",NULL
"OMEX","NCM",NULL
"VNQI","NGM",NULL
"FTXP","OEM",NULL
"EXPO","NMS",NULL
"LIND","NCM",NULL
"REPX","ASE",NULL
"IGEX","PNK",NULL
"EXLS","NMS",NULL
"TXLZF","OEM",NULL
"IMXI","NCM",NULL
"XGN","NGM",NULL
"SSVFF","OQX",NULL
"MCDMF","PNK",NULL
"FSXLF","OQX",NULL
"SPD","PCX",NULL
"EXPGY","OQX",NULL
"RINF","PCX",NULL
"SPYC","PCX",NULL
"LNSTY","PNK",NULL
"OMFL","BTS",NULL
"OPWEF","OQB",NULL
"CDDRF","PNK",NULL
"EXCE","OEM",NULL
"OMFS","BTS",NULL
"JUGRF","PNK",NULL
"EXPGF","OQX",NULL
"GRYCF","PNK",NULL
"PBEGF","PNK",NULL
"EXXRF","PNK",NULL
"PRXIQ","OEM",NULL
"NLPXF","OQB",NULL
"JPXGY","PNK",NULL
"VEII","OQB",NULL
"NMEX","PNK",NULL
"XRLV","PCX",NULL
"JHMD","PCX",NULL
"LRAXF","PNK",NULL
"KELTF","PNK",NULL
"QQXT","NGM",NULL
"SPXT","PCX",NULL
"LMEFF","PNK",NULL
"HYEX","OQB",NULL
"PEXZF","OQB",NULL
"SPXCF","PNK",NULL
"EXHI","PNK",NULL
"GOLXF","OQB",NULL
"GOOXF","OEM",NULL
"IXSE","PCX",NULL
"TRDX","PNK",NULL
"GPLS","PNK",NULL
"LDNXF","PNK",NULL
"PAYX","NMS",NULL
"PTNYF","OEM",NULL
"PAYS","NCM",NULL
"PPWLM","PNK",NULL
"PPWLO","PNK",NULL
"PRKR","OQB",NULL
"SPPP","NYQ",NULL
"PBLA","OQB",NULL
"PYCT","OEM",NULL
"PRFX","NCM",NULL
"PLYN","OEM",NULL
"PTHRF","OQX",NULL
"PAOTF","OEM",NULL
"PZOO","OEM",NULL
"PDXP","OEM",NULL
"PAVMZ","NCM",NULL
"PGNT","PNK",NULL
"PRGNF","OEM",NULL
"PAYD","PNK",NULL
"TVIPF","PNK",NULL
"FNCJF","PNK",NULL
"SLMXF","PNK",NULL
"SPUC","PCX",NULL
"HXPN","OEM",NULL
"HRFEF","PNK",NULL
"JPIB","BTS",NULL
"MIDLF","PNK",NULL
"THXPF","PNK",NULL
"HUSV","PCX",NULL
"RDEXF","OQB",NULL
"EFIX","PCX",NULL
"NWXPF","PNK",NULL
"CJIMF","PNK",NULL
"STXPF","OQB",NULL
"SPXCY","PNK",NULL
"PTXLF","PNK",NULL
"ZHEXF","PNK",NULL
"FEXXF","PNK",NULL
"PMMEF","OEM",NULL
"GILXF","PNK",NULL
"CNOBF","PNK",NULL
"CVVRF","PNK",NULL
"BBBMF","PNK",NULL
"TYPFF","PNK",NULL
"EYEN","NCM",NULL
"EYPT","NGM",NULL
"EYEG","NGM",NULL
"ICTY","PNK",NULL
"EZGO","NCM",NULL
"EZPW","NMS",NULL
"EZEN","OEM",NULL
"EZOO","PNK",NULL
"ETWO","NYQ",NULL
"ETWO-WT","NYQ",NULL
"FSLY","NYQ",NULL
"FNGU","PCX",NULL
"VFF","NCM",NULL
"FATE","NGM",NULL
"MFA","NYQ",NULL
"SFM","NMS",NULL
"FPI","NYQ",NULL
"MTUM","BTS",NULL
"FNGD","PCX",NULL
"VITL","NGM",NULL
"FBSGF","OEM",NULL
"USMV","BTS",NULL
"QUAL","BTS",NULL
"FRFHF","PNK",NULL
"VLUE","BTS",NULL
"FARO","NMS",NULL
"NATH","NMS",NULL
"LOWLF","OQB",NULL
"FTHM","NCM",NULL
"FFRMF","OEM",NULL
"GIFI","NMS",NULL
"SVAL","BTS",NULL
"XITK","PCX",NULL
"VFRM","OEM",NULL
"FRCOY","PNK",NULL
"FURCF","PNK",NULL
"IQLT","PCX",NULL
"FOLGF","PNK",NULL
"IVLU","PCX",NULL
"FNGO","PCX",NULL
"VFMO","BTS",NULL
"FIVA","PCX",NULL
"FCTI","OEM",NULL
"USWF","OEM",NULL
"JMOM","PCX",NULL
"FFTTF","PNK",NULL
"FPRGF","PNK",NULL
"VFLQ","BTS",NULL
"FCTR","BTS",NULL
"CBDG","PNK",NULL
"FRCOF","PNK",NULL
"PTKFF","PNK",NULL
"FMHS","OEM",NULL
"VSMV","NGM",NULL
"FLKI","OEM",NULL
"GNAF","PCX",NULL
"FNGZ","PCX",NULL
"FARYF","PNK",NULL
"JDSPY","PNK",NULL
"STLV","BTS",NULL
"STLG","BTS",NULL
"ISZE","PCX",NULL
"FRFXF","PNK",NULL
"HERF","PNK",NULL
"FBCD","PNK",NULL
"FBEC","OEM",NULL
"FGB","NYQ",NULL
"FBRKF","OQB",NULL
"FCIC","OEM",NULL
"FRD","ASE",NULL
"FDCT","PNK",NULL
"KRIUF","PNK",NULL
"PFE","NYQ",NULL
"FRT","NYQ",NULL
"FGPR","PNK",NULL
"FERG","NYQ",NULL
"FENC","NCM",NULL
"FPE","PCX",NULL
"GFIOF","PNK",NULL
"KFY","NYQ",NULL
"WAFD","NMS",NULL
"FGPRB","PNK",NULL
"FECOF","PNK",NULL
"FETM","OQX",NULL
"GVFF","PNK",NULL
"FRT-PC","NYQ",NULL
"FMCCP","OQB",NULL
"SFPI","OEM",NULL
"SFRGY","PNK",NULL
"FREGP","OQB",NULL
"FMCCO","OQB",NULL
"FNF","NYQ",NULL
"IFF","NYQ",NULL
"FGF","NGM",NULL
"FFBW","OQX",NULL
"XXFPL","OEM",NULL
"WFG","NYQ",NULL
"PFG","NMS",NULL
"FRG","NGM",NULL
"MFG","NYQ",NULL
"FGFPP","NGM",NULL
"RFG","PCX",NULL
"FPH","NYQ",NULL
"MFH","NCM",NULL
"PFH","NYQ",NULL
"FLIA","BTS",NULL
"FGEN","NMS",NULL
"FIBH","PNK",NULL
"FBCE","OEM",NULL
"FTEC","PCX",NULL
"FNCL","PCX",NULL
"FMAT","PCX",NULL
"FIDU","PCX",NULL
"FIFG","OEM",NULL
"FIGS","NYQ",NULL
"PFIG","PCX",NULL
"FXCNY","PNK",NULL
"FXCNF","PNK",NULL
"FTI","NYQ",NULL
"TFII","NYQ",NULL
"FISI","NMS",NULL
"FRI","PCX",NULL
"RFII","OEM",NULL
"FTK","NYQ",NULL
"RFIL","NGM",NULL
"MFCO","PNK",NULL
"GFMH","PNK",NULL
"PFTI","OEM",NULL
"FVL","PCX",NULL
"JFIL","OQB",NULL
"TIGR","NMS",NULL
"PRU","NYQ",NULL
"GGAL","NCM",NULL
"GNW","NYQ",NULL
"FTFT","NCM",NULL
"FINV","NYQ",NULL
"SYF","NYQ",NULL
"PNC","NYQ",NULL
"VIRT","NMS",NULL
"FIVN","NGM",NULL
"PKKFF","OQB",NULL
"RILY","NGM",NULL
"PFSI","NYQ",NULL
"JFIN","NGM",NULL
"MUFG","NYQ",NULL
"OCFT","NYQ",NULL
"LPLA","NMS",NULL
"UYG","PCX",NULL
"RJF","NYQ",NULL
"IFN","NYQ",NULL
"IFAN","OEM",NULL
"SMFG","NYQ",NULL
"LFT","NYQ",NULL
"HALL","OEM",NULL
"IFS","NYQ",NULL
"TRTX","NYQ",NULL
"IYG","PCX",NULL
"VOYA","NYQ",NULL
"KRNY","NMS",NULL
"FSFG","NCM",NULL
"PNFP","NMS",NULL
"WSBF","NMS",NULL
"PFS","NYQ",NULL
"FNCH","PNK",NULL
"XYF","NYQ",NULL
"ROKT","PCX",NULL
"FNGR","NCM",NULL
"SBFG","NCM",NULL
"ORRF","NCM",NULL
"PGC","NMS",NULL
"SNFCA","NGM",NULL
"SKF","PCX",NULL
"FNQQF","PNK",NULL
"KFS","NYQ",NULL
"FFNW","NMS",NULL
"SPFI","NMS",NULL
"MYFW","NMS",NULL
"PROV","NMS",NULL
"MOFG","NMS",NULL
"MFA-PB","NYQ",NULL
"FRAF","NCM",NULL
"RILYG","NGM",NULL
"MFA-PC","NYQ",NULL
"PSCF","NGM",NULL
"LTSL","OEM",NULL
"JHMF","PCX",NULL
"FNNNF","PNK",NULL
"PRS","NYQ",NULL
"FNBT","OQX",NULL
"TECTP","NCM",NULL
"NTFL","OEM",NULL
"RILYK","NGM",NULL
"LFGP","OQX",NULL
"LFT-PA","NYQ",NULL
"WFHG","PNK",NULL
"FINN","PNK",NULL
"TRVR","OQX",NULL
"LTSF","OEM",NULL
"RILYN","NGM",NULL
"WSFGQ","OEM",NULL
"MFGI","PNK",NULL
"GPFOF","PNK",NULL
"FGFH","OQX",NULL
"KKRS","NYQ",NULL
"EFNL","BTS",NULL
"BPIRF","OQX",NULL
"PNFPP","NMS",NULL
"FNFI","PNK",NULL
"SFIN","OEM",NULL
"LTSH","OEM",NULL
"LTSK","OEM",NULL
"GBFH","OQX",NULL
"FGFI","PNK",NULL
"RILYI","NGM",NULL
"RPFG","OEM",NULL
"RILYT","NGM",NULL
"HIG-PG","NYQ",NULL
"WINSF","OEM",NULL
"TGONF","PNK",NULL
"WHFBZ","NMS",NULL
"RILYM","NGM",NULL
"BPIRY","OQX",NULL
"TVLF","PNK",NULL
"FIZN","OEM",NULL
"YUANF","OEM",NULL
"FCODF","PNK",NULL
"FINGF","PNK",NULL
"TNSGF","PNK",NULL
"SLXXF","PNK",NULL
"IAFNF","PNK",NULL
"FRO","NYQ",NULL
"SFIO","PNK",NULL
"FKO","NGM",NULL
"FLIO","PCX",NULL
"FSLR","NMS",NULL
"FFWM","NYQ",NULL
"FTXR","NGM",NULL
"LEGR","NGM",NULL
"QTEC","NGM",NULL
"FGPHF","OQB",NULL
"FCFS","NMS",NULL
"FQVLF","PNK",NULL
"SVVC","OQB",NULL
"FUNC","NMS",NULL
"UFCS","NMS",NULL
"FTXL","NGM",NULL
"HYLS","NGM",NULL
"FTRI","NGM",NULL
"NFTI","PNK",NULL
"FPAFY","PNK",NULL
"FTXH","NGM",NULL
"FMHI","NGM",NULL
"FKU","NGM",NULL
"MMLG","PCX",NULL
"ILDR","PCX",NULL
"FPEI","PCX",NULL
"UCON","PCX",NULL
"SCFR","PNK",NULL
"FGROF","PNK",NULL
"FSVEF","OEM",NULL
"FMNY","PCX",NULL
"FGROY","PNK",NULL
"FISR","PCX",NULL
"FPAFF","PNK",NULL
"FPLF","OEM",NULL
"FWEDF","OQX",NULL
"HSMV","PCX",NULL
"FESNF","PNK",NULL
"FUCIF","OGM",NULL
"FTS","NYQ",NULL
"FKRAF","PNK",NULL
"PLNT","NYQ",NULL
"FITGF","PNK",NULL
"FFIU","PCX",NULL
"FVRR","NYQ",NULL
"FFIV","NMS",NULL
"SFIX","NMS",NULL
"OFIX","NMS",NULL
"QRTEP","NCM",NULL
"GJH","NYQ",NULL
"GJO","NYQ",NULL
"GJT","NYQ",NULL
"GJP","NYQ",NULL
"GJR","NYQ",NULL
"IFIX","BTS",NULL
"FLIY","PCX",NULL
"FIYY","PCX",NULL
"HZO","NYQ",NULL
"FLEX","NMS",NULL
"FPAY","NCM",NULL
"RFL","NYQ",NULL
"FLWS","NMS",NULL
"FLNT","NCM",NULL
"FLNG","NYQ",NULL
"FLOOF","OEM",NULL
"FLUX","NCM",NULL
"XFLT","NYQ",NULL
"PFL","NYQ",NULL
"HFRO","NYQ",NULL
"FLOW","PCX",NULL
"GUNR","PCX",NULL
"JFR","NYQ",NULL
"FLXS","NMS",NULL
"FLRE","OEM",NULL
"FLXT","PNK",NULL
"OFLX","NGM",NULL
"HYGV","PCX",NULL
"TDTT","PCX",NULL
"RFM","NYQ",NULL
"TDTF","PCX",NULL
"FTWS","OEM",NULL
"IQDF","PCX",NULL
"TILT","BTS",NULL
"USFR","PCX",NULL
"IQDE","PCX",NULL
"FPMI","OEM",NULL
"IQDY","PCX",NULL
"TFLO","PCX",NULL
"GQRE","PCX",NULL
"FLXP","OEM",NULL
"FLMP","OEM",NULL
"UVFT","OEM",NULL
"USNL","OEM",NULL
"FGSGF","PNK",NULL
"FLIDY","PNK",NULL
"MFM","NYQ",NULL
"PFN","NYQ",NULL
"FTNT","NMS",NULL
"UNFI","NYQ",NULL
"FOSL","NMS",NULL
"WOOD","NGM",NULL
"FSUGY","OQX",NULL
"NOMD","NYQ",NULL
"FHTX","NGM",NULL
"LWAY","NGM",NULL
"FOYJ","OEM",NULL
"WFSTF","PNK",NULL
"FCSMF","OQB",NULL
"SOFO","OEM",NULL
"ICLTF","PNK",NULL
"HFFG","NCM",NULL
"FSUMF","OQX",NULL
"IVFH","OQB",NULL
"HIFS","NGM",NULL
"MRRTY","PNK",NULL
"FTMDF","OQB",NULL
"FDFT","OEM",NULL
"ONEY","PCX",NULL
"VGM","NYQ",NULL
"SPYX","PCX",NULL
"PNNX","PNK",NULL
"MLFNF","PNK",NULL
"FORTY","NMS",NULL
"WILC","NCM",NULL
"FOJCY","PNK",NULL
"VTN","NYQ",NULL
"SFOSF","PNK",NULL
"NHMD","OEM",NULL
"TFBN","OEM",NULL
"PXFG","PNK",NULL
"ONEO","PCX",NULL
"FOSUF","PNK",NULL
"MINN","BTS",NULL
"PVAL","PCX",NULL
"PGRO","PCX",NULL
"FFTI","BTS",NULL
"OGOFF","PNK",NULL
"FVTI","OEM",NULL
"GOFPY","PNK",NULL
"PFODF","PNK",NULL
"FFTG","BTS",NULL
"MTYFF","PNK",NULL
"FNAUF","PNK",NULL
"FHGDF","PNK",NULL
"FRACF","PNK",NULL
"PRRFY","PNK",NULL
"AWAW","PNK",NULL
"FJNK","PCX",NULL
"RFGPF","PNK",NULL
"FRMB","OEM",NULL
"FBOHY","PNK",NULL
"HLNFF","PNK",NULL
"KMSWF","PNK",NULL
"FPNUF","PNK",NULL
"ULCC","NMS",NULL
"FRPT","NGM",NULL
"REFR","NCM",NULL
"FDBL","OEM",NULL
"FNLPF","PNK",NULL
"LITOF","OQX",NULL
"NXP","NYQ",NULL
"FTDR","NMS",NULL
"FRHLF","PNK",NULL
"FRPH","NMS",NULL
"LOUP","PCX",NULL
"FGOVF","OQX",NULL
"NRK","NYQ",NULL
"FRFR","OEM",NULL
"KITL","PNK",NULL
"FMNJ","PNK",NULL
"FLGB","PCX",NULL
"FLQH","PCX",NULL
"FRGAP","NGM",NULL
"FLNCF","PNK",NULL
"FEERF","OQB",NULL
"FSNUY","PNK",NULL
"FRZT","PNK",NULL
"FFLO","PNK",NULL
"FLQM","BTS",NULL
"NXN","NYQ",NULL
"FLHY","BTS",NULL
"MYFT","OEM",NULL
"FLCO","PCX",NULL
"SDIPF","PNK",NULL
"FLGV","PCX",NULL
"FLLV","PCX",NULL
"FRAZ","OEM",NULL
"FLQS","BTS",NULL
"FLSP","PCX",NULL
"SFR","NGM",NULL
"DVNHF","PNK",NULL
"FRTG","OEM",NULL
"SFT","NCM",NULL
"FTCI","NCM",NULL
"PRFZ","NGM",NULL
"HFXI","PCX",NULL
"FUBO","NYQ",NULL
"FULC","NGM",NULL
"FUPBY","PNK",NULL
"FLUD","PCX",NULL
"MTSFY","PNK",NULL
"MTSFF","PNK",NULL
"WPRT","NMS",NULL
"FTEK","NCM",NULL
"HTOO","NCM",NULL
"RNWF","OEM",NULL
"HTOOW","NCM",NULL
"HYPF","OEM",NULL
"FLST","OEM",NULL
"FUEG","OEM",NULL
"FUGI","OEM",NULL
"UFI","NYQ",NULL
"FJTSY","PNK",NULL
"FLGT","NGM",NULL
"FLMTF","PNK",NULL
"LUNA","OEM",NULL
"PAVE","BTS",NULL
"UNG","PCX",NULL
"XYLD","PCX",NULL
"UTG","NYQ",NULL
"UGA","PCX",NULL
"FNDF","PCX",NULL
"HGLB","NYQ",NULL
"URTH","PCX",NULL
"SPEM","PCX",NULL
"SPE","NYQ",NULL
"SPUS","PCX",NULL
"HPF","NYQ",NULL
"HYB","NYQ",NULL
"JGH","NYQ",NULL
"FNDC","PCX",NULL
"PTLC","BTS",NULL
"MXF","NYQ",NULL
"BUFF","BTS",NULL
"MPRO","BTS",NULL
"SPRE","PCX",NULL
"PLAT","PCX",NULL
"WPFH","PNK",NULL
"SECT","BTS",NULL
"INSI","NYQ",NULL
"PRIF-PH","NYQ",NULL
"TFSA","NYQ",NULL
"GLRY","PCX",NULL
"SUND","OQB",NULL
"FEVR","PCX",NULL
"HFRO-PA","NYQ",NULL
"PRIF-PD","NYQ",NULL
"TRND","PCX",NULL
"SIRZF","PNK",NULL
"PRIF-PG","NYQ",NULL
"MAYZ","BTS",NULL
"VRGFF","PNK",NULL
"VFPAF","PNK",NULL
"SEPZ","BTS",NULL
"PRIF-PF","NYQ",NULL
"FENG","NYQ",NULL
"UNH","NYQ",NULL
"MUNI","PCX",NULL
"RUNI","OEM",NULL
"FNKO","NMS",NULL
"UNL","PCX",NULL
"UNM","NYQ",NULL
"FUUN","PNK",NULL
"FUTS","OEM",NULL
"FUST","OQB",NULL
"FUTU","NGM",NULL
"FGNV","OQB",NULL
"FRNV","OEM",NULL
"OUNZ","PCX",NULL
"JUNZ","BTS",NULL
"NUNZ","OEM",NULL
"FOUR","NYQ",NULL
"LEFUF","PNK",NULL
"LFUS","NMS",NULL
"IFUS","PNK",NULL
"FSPM","OEM",NULL
"DROP","PNK",NULL
"FZMD","PNK",NULL
"FAUS","PCX",NULL
"HFUS","PNK",NULL
"ERTH","PCX",NULL
"FAMDF","PNK",NULL
"WTMF","PCX",NULL
"FTRS","PNK",NULL
"FCUV","NCM",NULL
"RFV","PCX",NULL
"FVCB","NCM",NULL
"TFX","NYQ",NULL
"FYIRF","OQB",NULL
"SPCE","NYQ",NULL
"GADS","OEM",NULL
"PENN","NMS",NULL
"MGA","NYQ",NULL
"GLMD","NCM",NULL
"GALT","NCM",NULL
"IGT","NYQ",NULL
"GMER","OQB",NULL
"GRMN","NYQ",NULL
"GGN","ASE",NULL
"VIST","NYQ",NULL
"GLPG","NMS",NULL
"GTX","NMS",NULL
"GLTO","NCM",NULL
"GRTX","PNK",NULL
"GGT","NYQ",NULL
"MSGS","NYQ",NULL
"GNENF","PNK",NULL
"OGS","NYQ",NULL
"MSGM","NCM",NULL
"GAIA","NGM",NULL
"GKPRF","PNK",NULL
"GANX","NGM",NULL
"PLGNF","PNK",NULL
"PDGO","PNK",NULL
"NGS","NYQ",NULL
"IGA","NYQ",NULL
"GNT","NYQ",NULL
"GLXZ","OQB",NULL
"GMWKF","PNK",NULL
"GRX","NYQ",NULL
"GAYMF","OQB",NULL
"NTGL","OEM",NULL
"GLOP-PA","NYQ",NULL
"GLOP-PB","NYQ",NULL
"GLOP-PC","NYQ",NULL
"SPND","PNK",NULL
"GGIFF","PNK",NULL
"GBRRF","PNK",NULL
"GGZ","NYQ",NULL
"NSVGF","OEM",NULL
"GUT-PC","NYQ",NULL
"STTX","PNK",NULL
"TVOG","OEM",NULL
"PTOG","OEM",NULL
"GGGOF","OQB",NULL
"TKGSY","PNK",NULL
"OGGFF","OEM",NULL
"GZTGF","PNK",NULL
"LOPP","PCX",NULL
"LOGL","OEM",NULL
"POGS","PNK",NULL
"OOAG","OEM",NULL
"GAWK","OEM",NULL
"PPAAF","PNK",NULL
"GGN-PB","ASE",NULL
"GNT-PA","NYQ",NULL
"GDNGY","PNK",NULL
"GLPGF","PNK",NULL
"GGT-PG","NYQ",NULL
"GGT-PE","NYQ",NULL
"GAYGF","PNK",NULL
"ROAOF","OEM",NULL
"PCOGF","PNK",NULL
"KNBA","OEM",NULL
"NZEOF","PNK",NULL
"TGB","ASE",NULL
"GGB","NYQ",NULL
"GTCH","PNK",NULL
"GBLX","PNK",NULL
"XTRXF","PNK",NULL
"GCMG","NGM",NULL
"GCMGW","NGM",NULL
"GYC","NYQ",NULL
"NGD","ASE",NULL
"GEVO","NCM",NULL
"GNPX","NCM",NULL
"GNRC","NYQ",NULL
"GTEH","OEM",NULL
"GENI","NYQ",NULL
"TXG","NMS",NULL
"GNK","NYQ",NULL
"GOVX","NCM",NULL
"OMIC","NCM",NULL
"GENE","NCM",NULL
"GMAB","NMS",NULL
"GNSS","NCM",NULL
"GENN","OEM",NULL
"MYGN","NMS",NULL
"SLGL","NCM",NULL
"GNFT","NMS",NULL
"TSHA","NMS",NULL
"THRM","NMS",NULL
"WINKF","PNK",NULL
"GPRK","NYQ",NULL
"IGIC","NCM",NULL
"GXXM","PNK",NULL
"GENC","ASE",NULL
"GENMF","OQB",NULL
"USNZY","PNK",NULL
"SCGLY","PNK",NULL
"GGSM","PNK",NULL
"GOMRF","OQB",NULL
"RSKIA","PNK",NULL
"LGGNY","PNK",NULL
"MNIZ","PNK",NULL
"RGDXQ","OEM",NULL
"LGGNF","PNK",NULL
"GNMSF","PNK",NULL
"GTSWF","OEM",NULL
"ROSGQ","OEM",NULL
"GTHR","OEM",NULL
"EWGS","BTS",NULL
"GOVXW","NCM",NULL
"GSIH","OEM",NULL
"GTRL","PNK",NULL
"GNMLF","PNK",NULL
"GTHKF","OEM",NULL
"GENSF","PNK",NULL
"GECFF","PNK",NULL
"GFGU","OEM",NULL
"DBGR","PCX",NULL
"SCGLF","PNK",NULL
"GNLKQ","OEM",NULL
"GNFTF","PNK",NULL
"WNGRF","PNK",NULL
"GXSBF","PNK",NULL
"IGF","NGM",NULL
"MGF","NYQ",NULL
"GFGSF","OQB",NULL
"NGG","NYQ",NULL
"GGG","NYQ",NULL
"GHST","PNK",NULL
"OGI","NMS",NULL
"GILD","NMS",NULL
"GILT","NMS",NULL
"MOTS","OEM",NULL
"TGI","NYQ",NULL
"OGIG","BTS",NULL
"GIGM","NCM",NULL
"ROCK","NMS",NULL
"LGI","NYQ",NULL
"GIGGW","NGM",NULL
"VGI","NYQ",NULL
"GIGGU","NGM",NULL
"GGLT","OEM",NULL
"GVI","BTS",NULL
"GBUX","PNK",NULL
"GVDNY","PNK",NULL
"GIBX","OEM",NULL
"GVDBF","PNK",NULL
"IGPFF","PNK",NULL
"GRDZF","PNK",NULL
"SGI","NYQ",NULL
"GJS","NYQ",NULL
"GLAXF","PNK",NULL
"XYIGF","PNK",NULL
"VCIGF","PNK",NULL
"XYIGY","PNK",NULL
"SGLA","PNK",NULL
"GLBE","NMS",NULL
"GLBS","NCM",NULL
"GLOB","NYQ",NULL
"GLDB","BTS",NULL
"IGLB","PCX",NULL
"GLBH","OEM",NULL
"GLBB","OEM",NULL
"GLYC","NCM",NULL
"GLUC","PNK",NULL
"HGLC","OEM",NULL
"RGLD","NMS",NULL
"GLDM","PCX",NULL
"GLDG","ASE",NULL
"GLDW","PCX",NULL
"GLHD","OEM",NULL
"GLNCY","PNK",NULL
"GLRE","NMS",NULL
"GLCNF","PNK",NULL
"GRLF","PNK",NULL
"GLFN","OEM",NULL
"GLNG","NMS",NULL
"GLGI","OQB",NULL
"RGLG","PNK",NULL
"GLOH","PNK",NULL
"GLSI","NCM",NULL
"GBLI","NYQ",NULL
"GLIN","PCX",NULL
"MGLI","OEM",NULL
"GTLL","PNK",NULL
"GNL","NYQ",NULL
"LGL","ASE",NULL
"GTN","NYQ",NULL
"GPN","NYQ",NULL
"GNLN","NCM",NULL
"SGLN","OEM",NULL
"GLNV","OEM",NULL
"GLNS","OQB",NULL
